Z	N	symbol	name	half-life (y)	spin	dipole moment (nuclear magnetons)	error (nuclear magnetons)	gyromagnetic ratio (MHz/T)	error (MHz/T)	natural abundance	error
1	1	H	Hydrogen	-1	0.5	2.792847351	9e-09	42.577478615342585	1.3720667812398573e-07	99.9885	0.007
1	2	D	Deuterium	-1	1	0.857438231	5e-09	6.5359028540009305	3.81129661455516e-08	0.0115	0.007
1	3	T	Tritium	12.33 	0.5	2.97896246	1.4e-08	45.41483815473964	2.1343261041508894e-07	-1	-1
2	3	He	Helium	-1	0.5	-2.12762531	3e-08	-32.43604456417949	4.573555937466191e-07	0.000134	3e-06
3	6	Li	Lithium	-1	1	0.822043	3e-06	6.266099405837534	2.2867779687330957e-05	7.59	0.04
3	7	Li	Lithium	-1	1.5	3.256407	1.2e-05	16.548177299618295	6.098074583288255e-05	92.41	0.04
4	9	Be	Beryllium	-1	1.5	-1.17743	5e-06	-5.983379963834242	2.5408644097034397e-05	100.0	100.0
5	10	B	Boron	-1	3	1.8004636	8e-07	4.57473388220653	2.0326915277627514e-06	19.9	0.7
5	11	B	Boron	-1	1.5	2.688378	1e-06	13.66160796005943	5.0817288194068795e-06	80.1	0.7
6	13	C	Carbon	-1	0.5	0.702369	4e-06	10.707746367473973	6.098074583288255e-05	1.07	0.08
7	14	N	Nitrogen	-1	1	0.403573	2e-06	3.076272817251739	1.5245186458220638e-05	99.636	0.02
7	15	N	Nitrogen	-1	0.5	-0.2830569	1.4e-06	-4.3152552187859134	2.1343261041508893e-05	0.364	0.02
8	17	O	Oxygen	-1	2.5	-1.893543	1e-05	-5.7734832203316975	3.0490372916441285e-05	0.038	0.001
9	19	F	Fluorine	-1	0.5	2.628321	4e-06	40.06924371705693	6.098074583288255e-05	100.0	100.0
10	21	Ne	Neon	-1	1.5	-0.6617	3e-05	-3.362579959801532	0.00015245186458220637	0.27	0.01
11	22	Na	Sodium	2.60 	3	1.746	0.003	4.436349259342206	0.00762259322911032	-1	-1
11	23	Na	Sodium	-1	1.5	2.2175	3e-05	11.268733657034753	0.00015245186458220637	100.0	100.0
12	25	Mg	Magnesium	-1	2.5	-0.85533	3e-05	-2.607933066661972	9.147111874932383e-05	10.0	0.01
13	26	Al	Aluminium	7e5 	5	2.803	0.004	4.273225764239245	0.006098074583288256	-1	-1
13	27	Al	Aluminium	-1	2.5	3.6407	2e-05	11.100630067688776	6.098074583288257e-05	100.0	100.0
14	29	Si	Silicon	-1	0.5	-0.555052	3e-06	-8.461871234008282	4.5735559374661915e-05	4.685	0.008
15	31	P	Phosphorus	-1	0.5	1.130925	5e-06	17.241162495263175	7.62259322911032e-05	100.0	100.0
16	33	S	Sulfur	-1	1.5	0.64325	2e-05	3.2688220630834754	0.00010163457638813759	0.75	0.02
17	35	Cl	Chlorine	-1	1.5	0.8217	2e-05	4.175656570906633	0.00010163457638813759	75.76	0.1
17	36	Cl	Chlorine	3.0e5 	2	1.2849	0.0003	4.897135020041924	0.0011433889843665479	-1	-1
